Tipo, Raza, Nombre, Color, Peso
Perro,Cooker Spaniel,Motitas,pardo,6
Perro,Pastor Inglés,Linus,miel,11
Perro,Maltés,Negro,miel,33
Perro,Calicó,Linus,moteado,42
Gato,Siames,Bishi,pardo,49
Perro,Calicó,Brownie,negro,25
Perro,Pastor Alemán,Moana,blanco,27
Perro,Pastor Inglés,Brownie,miel,20
Gato,Chihuahua,Manchas,naranja,35
Gato,Cooker Spaniel,Motitas,pardo,6
Gato,Pastor Inglés,Brownie,gris,32
Gato,Chihuahua,Pulgas,blanco,24
Perro,Cooker Spaniel,Manchas,blanco,18
Gato,Chihuahua,Bishi,café,13
Perro,Pastor Inglés,Negro,naranja,18
Perro,Siames,Moana,moteado,23
Gato,Persa,Moana,naranja,15
Gato,Maltés,Negro,miel,45
Gato,Cooker Spaniel,Bolita,negro,36
Gato,Calicó,Moana,café,20
Gato,Dorado,Motitas,moteado,3
Perro,Siames,Negro,café,53
Perro,Siames,Brownie,moteado,40
Perro,Dorado,Bishi,pardo,57
Gato,Pastor Alemán,Linus,gris,28
Perro,Chihuahua,Bishi,negro,40
Gato,Dorado,Bolita,café,26
Perro,Siames,Bishi,gris,47
Perro,Dorado,Linus,moteado,16
Gato,Dorado,Pulgas,miel,52
Gato,Cooker Spaniel,Moana,naranja,59
Gato,Pastor Inglés,Linus,blanco,52
Gato,Maltés,Linus,pardo,15
Gato,Pastor Inglés,Brownie,blanco,22
Perro,Dorado,Manchas,negro,29
Perro,Calicó,Manchas,moteado,13
Gato,Calicó,Bolita,gris,20
Gato,Dorado,Linus,negro,48
Perro,Siames,Motitas,moteado,14
Perro,Cooker Spaniel,Brownie,moteado,15
Gato,Pastor Inglés,Bolita,negro,44
Perro,Persa,Brownie,pardo,50
Gato,Dorado,Motitas,miel,51
Perro,Dorado,Manchas,café,21
Perro,Calicó,Moana,café,16
Perro,Siames,Brownie,miel,46
Gato,Chihuahua,Bishi,blanco,44
Perro,Persa,Manchas,café,19
Perro,Persa,Bishi,negro,58
Gato,Dorado,Negro,naranja,52
Gato,Pastor Alemán,Motitas,miel,59
Perro,Persa,Pulgas,miel,1
Gato,Maltés,Pulgas,pardo,16
Perro,Pastor Alemán,Brownie,miel,50
Perro,Siames,Linus,gris,43
Perro,Persa,Brownie,gris,50
Perro,Dorado,Negro,café,60
Perro,Cooker Spaniel,Linus,pardo,10
Perro,Pastor Inglés,Moana,negro,33
Gato,Chihuahua,Manchas,naranja,29
Perro,Chihuahua,Motitas,naranja,13
Gato,Calicó,Manchas,gris,57
Perro,Calicó,Bishi,blanco,10
Gato,Persa,Manchas,miel,35
Gato,Calicó,Brownie,negro,1
Gato,Siames,Pulgas,gris,45
Gato,Persa,Pulgas,gris,32
Gato,Cooker Spaniel,Negro,naranja,57
Gato,Maltés,Bishi,miel,50
Perro,Cooker Spaniel,Linus,negro,17
Perro,Maltés,Bishi,blanco,43
Gato,Dorado,Moana,pardo,41
Gato,Chihuahua,Brownie,moteado,52
Gato,Persa,Moana,negro,28
Perro,Maltés,Bolita,gris,42
Gato,Cooker Spaniel,Manchas,café,28
Gato,Siames,Moana,blanco,26
Gato,Maltés,Bolita,pardo,7
Gato,Pastor Inglés,Bolita,blanco,36
Gato,Pastor Alemán,Bishi,moteado,24
Gato,Pastor Alemán,Motitas,moteado,5
Perro,Dorado,Brownie,moteado,45
Gato,Pastor Inglés,Brownie,blanco,49
Gato,Pastor Inglés,Negro,naranja,13
Gato,Maltés,Manchas,pardo,50
Perro,Siames,Negro,naranja,28
Gato,Dorado,Negro,naranja,54
Perro,Persa,Motitas,negro,36
Perro,Siames,Moana,naranja,42
Perro,Siames,Manchas,miel,17
Perro,Persa,Linus,naranja,49
Gato,Cooker Spaniel,Moana,moteado,9
Gato,Calicó,Moana,café,25
Gato,Dorado,Manchas,pardo,44
Gato,Cooker Spaniel,Manchas,miel,14
Perro,Cooker Spaniel,Motitas,miel,26
Gato,Cooker Spaniel,Bishi,miel,24
Gato,Persa,Brownie,miel,19
Gato,Siames,Bishi,pardo,47
Perro,Siames,Moana,pardo,2
Gato,Pastor Alemán,Bishi,gris,50
Gato,Pastor Alemán,Brownie,blanco,23
Perro,Chihuahua,Bolita,blanco,51
Gato,Calicó,Manchas,naranja,51
Gato,Chihuahua,Moana,gris,58
Gato,Dorado,Linus,pardo,31
Perro,Cooker Spaniel,Linus,gris,55
Gato,Pastor Inglés,Moana,moteado,1
Gato,Pastor Inglés,Manchas,blanco,41
Perro,Cooker Spaniel,Motitas,café,47
Perro,Siames,Pulgas,blanco,19
Perro,Dorado,Bolita,moteado,37
Gato,Dorado,Bolita,negro,27
Gato,Persa,Motitas,gris,49
Perro,Siames,Moana,miel,38
Gato,Pastor Inglés,Linus,miel,18
Gato,Siames,Manchas,naranja,37
Perro,Cooker Spaniel,Manchas,café,49
Perro,Calicó,Pulgas,naranja,7
Perro,Pastor Alemán,Linus,naranja,26
Gato,Maltés,Brownie,gris,3
Gato,Cooker Spaniel,Pulgas,moteado,32
Perro,Cooker Spaniel,Linus,miel,31
Gato,Persa,Moana,pardo,3
Gato,Persa,Linus,gris,59
Gato,Persa,Moana,miel,31
Perro,Pastor Alemán,Linus,miel,13
Gato,Persa,Manchas,blanco,35
Perro,Maltés,Linus,gris,59
Perro,Siames,Bolita,naranja,31
Perro,Pastor Inglés,Moana,negro,46
Perro,Pastor Inglés,Bishi,negro,57
Perro,Dorado,Motitas,pardo,5
Perro,Siames,Manchas,blanco,20
Gato,Calicó,Bolita,moteado,11
Gato,Siames,Brownie,miel,1
Perro,Dorado,Bishi,blanco,19
Gato,Siames,Bolita,miel,19
Perro,Cooker Spaniel,Moana,gris,39
Perro,Calicó,Brownie,café,48
Gato,Pastor Alemán,Motitas,gris,32
Gato,Siames,Moana,naranja,8
Gato,Pastor Alemán,Motitas,moteado,54
Gato,Siames,Manchas,negro,22
Perro,Calicó,Bolita,blanco,8
Gato,Calicó,Manchas,moteado,11
Gato,Dorado,Bishi,negro,22
Gato,Chihuahua,Negro,pardo,6
Gato,Pastor Alemán,Pulgas,naranja,36
Gato,Calicó,Bishi,café,50
Gato,Cooker Spaniel,Linus,moteado,28
Gato,Siames,Bishi,negro,59
Perro,Pastor Inglés,Moana,gris,57
Gato,Chihuahua,Linus,moteado,37
Gato,Maltés,Manchas,negro,58
Gato,Persa,Negro,moteado,13
Perro,Dorado,Moana,miel,41
Perro,Pastor Inglés,Bishi,pardo,52
Gato,Persa,Brownie,negro,53
Gato,Persa,Moana,gris,31
Gato,Cooker Spaniel,Brownie,moteado,7
Gato,Persa,Bishi,gris,5
Perro,Pastor Alemán,Linus,moteado,36
Perro,Siames,Bolita,gris,21
Perro,Pastor Inglés,Motitas,café,8
Gato,Chihuahua,Bishi,café,13
Gato,Pastor Inglés,Pulgas,café,59
Gato,Persa,Moana,pardo,3
Perro,Dorado,Manchas,naranja,54
Gato,Pastor Alemán,Linus,gris,25
Perro,Calicó,Brownie,negro,54
Perro,Pastor Inglés,Linus,moteado,32
Gato,Dorado,Pulgas,naranja,39
Perro,Dorado,Manchas,naranja,60
Gato,Pastor Alemán,Bishi,negro,56
Perro,Persa,Moana,blanco,27
Gato,Maltés,Linus,pardo,25
Perro,Dorado,Bolita,miel,8
Gato,Persa,Manchas,miel,24
Perro,Pastor Inglés,Brownie,pardo,13
Perro,Chihuahua,Moana,moteado,34
Perro,Persa,Motitas,blanco,12
Gato,Dorado,Manchas,blanco,30
Gato,Chihuahua,Moana,negro,49
Perro,Dorado,Moana,miel,31
Perro,Pastor Alemán,Manchas,moteado,59
Gato,Cooker Spaniel,Bolita,gris,7
Gato,Pastor Inglés,Bolita,café,22
Gato,Calicó,Pulgas,miel,50
Gato,Pastor Inglés,Manchas,moteado,7
Gato,Pastor Inglés,Bolita,pardo,30
Gato,Siames,Negro,café,8
Gato,Siames,Pulgas,moteado,38
Perro,Maltés,Negro,pardo,32
Perro,Persa,Pulgas,negro,13
Gato,Cooker Spaniel,Linus,café,28
Gato,Siames,Motitas,café,1
Gato,Pastor Alemán,Negro,blanco,31
Perro,Persa,Pulgas,pardo,16
Gato,Calicó,Motitas,naranja,8
Gato,Pastor Inglés,Negro,moteado,7
Gato,Chihuahua,Manchas,miel,9
Gato,Cooker Spaniel,Brownie,café,59
Gato,Cooker Spaniel,Negro,negro,49
Perro,Calicó,Negro,blanco,50
Gato,Pastor Alemán,Brownie,blanco,34
Gato,Maltés,Manchas,negro,37
Perro,Maltés,Pulgas,pardo,57
Gato,Siames,Linus,negro,42
Perro,Calicó,Motitas,naranja,29
Perro,Chihuahua,Negro,moteado,42
Gato,Pastor Alemán,Moana,blanco,36
Gato,Chihuahua,Bolita,pardo,23
Perro,Pastor Alemán,Motitas,gris,47
Gato,Dorado,Bolita,naranja,8
Perro,Maltés,Linus,blanco,54
Perro,Cooker Spaniel,Motitas,negro,45
Gato,Maltés,Bishi,negro,11
Perro,Maltés,Pulgas,miel,50
Gato,Dorado,Brownie,naranja,44
Gato,Persa,Bishi,negro,33
Perro,Pastor Inglés,Brownie,café,22
Perro,Pastor Inglés,Pulgas,pardo,30
Perro,Chihuahua,Moana,negro,13
Perro,Cooker Spaniel,Pulgas,pardo,15
Gato,Pastor Inglés,Bolita,negro,33
Gato,Pastor Inglés,Bolita,naranja,60
Perro,Pastor Alemán,Moana,gris,31
Gato,Dorado,Bolita,miel,9
Perro,Dorado,Brownie,blanco,3
Gato,Maltés,Moana,blanco,57
Gato,Maltés,Motitas,miel,31
Perro,Pastor Alemán,Linus,gris,40
Perro,Siames,Motitas,miel,18
Gato,Persa,Motitas,miel,4
Perro,Cooker Spaniel,Bishi,negro,39
Perro,Calicó,Bolita,gris,24
Gato,Maltés,Pulgas,café,49
Gato,Siames,Moana,naranja,56
Gato,Pastor Alemán,Bishi,naranja,1
Perro,Dorado,Moana,blanco,24
Gato,Cooker Spaniel,Manchas,café,21
Gato,Calicó,Bolita,moteado,52
Gato,Maltés,Negro,miel,12
Gato,Siames,Motitas,café,23
Perro,Pastor Alemán,Linus,moteado,18
Perro,Maltés,Bishi,café,57
Gato,Dorado,Brownie,pardo,33
Perro,Maltés,Motitas,negro,34
Gato,Maltés,Pulgas,naranja,3
Perro,Dorado,Manchas,café,36
Gato,Chihuahua,Pulgas,pardo,51
Gato,Chihuahua,Moana,moteado,59
Gato,Maltés,Linus,pardo,12
Perro,Cooker Spaniel,Pulgas,café,49
Gato,Calicó,Negro,miel,23
Perro,Persa,Pulgas,blanco,42
Perro,Siames,Moana,moteado,28
Perro,Cooker Spaniel,Linus,blanco,14
Perro,Maltés,Brownie,pardo,7
Gato,Pastor Alemán,Linus,naranja,59
Gato,Siames,Bolita,café,29
Gato,Siames,Negro,moteado,11
Perro,Cooker Spaniel,Bishi,blanco,60
Gato,Chihuahua,Moana,negro,34
Gato,Calicó,Bolita,negro,53
Perro,Cooker Spaniel,Moana,moteado,18
Perro,Chihuahua,Bolita,naranja,8
Perro,Calicó,Manchas,naranja,32
Perro,Calicó,Bishi,pardo,57
Perro,Dorado,Pulgas,moteado,23
Perro,Calicó,Manchas,blanco,60
Perro,Pastor Alemán,Brownie,café,2
Gato,Maltés,Bishi,blanco,3
Perro,Cooker Spaniel,Manchas,negro,33
Perro,Maltés,Linus,naranja,46
Perro,Chihuahua,Motitas,negro,29
Gato,Dorado,Moana,moteado,23
Perro,Calicó,Brownie,blanco,40
Gato,Chihuahua,Motitas,café,26
Perro,Persa,Negro,pardo,33
Gato,Chihuahua,Bishi,miel,15
Gato,Calicó,Motitas,miel,44
Gato,Chihuahua,Brownie,pardo,18
Perro,Calicó,Linus,moteado,58
Perro,Pastor Alemán,Bolita,moteado,49
Gato,Cooker Spaniel,Motitas,naranja,51
Perro,Chihuahua,Negro,negro,25
Gato,Maltés,Bishi,miel,32
Gato,Siames,Moana,café,38
Gato,Chihuahua,Moana,negro,7
Gato,Maltés,Bolita,blanco,53
Gato,Cooker Spaniel,Bolita,pardo,54
Gato,Pastor Alemán,Brownie,naranja,45
Gato,Dorado,Moana,pardo,50
Perro,Persa,Brownie,moteado,22
Gato,Persa,Bishi,miel,50
Perro,Persa,Brownie,blanco,36
Perro,Dorado,Manchas,miel,6
Perro,Persa,Linus,negro,60
Perro,Cooker Spaniel,Bolita,café,48
Perro,Maltés,Brownie,naranja,5
Perro,Maltés,Bolita,blanco,28
Perro,Pastor Alemán,Motitas,café,1
Gato,Chihuahua,Motitas,miel,15
Gato,Persa,Linus,gris,31
Perro,Persa,Manchas,moteado,5
Perro,Persa,Manchas,naranja,52
Perro,Chihuahua,Manchas,moteado,23
Gato,Pastor Alemán,Motitas,miel,49
Gato,Persa,Motitas,naranja,49
Perro,Cooker Spaniel,Moana,gris,35
Perro,Chihuahua,Moana,café,12
Gato,Chihuahua,Brownie,naranja,30
Gato,Maltés,Brownie,negro,58
Perro,Pastor Alemán,Negro,naranja,46
Perro,Siames,Manchas,moteado,10
Gato,Chihuahua,Pulgas,gris,34
Perro,Persa,Negro,negro,58
Perro,Pastor Inglés,Bishi,café,59
Gato,Pastor Alemán,Brownie,negro,50
Perro,Pastor Inglés,Pulgas,café,60
Gato,Persa,Negro,negro,25
Gato,Pastor Inglés,Negro,pardo,45
Gato,Cooker Spaniel,Bishi,negro,54
Gato,Persa,Negro,pardo,5
Perro,Pastor Alemán,Brownie,naranja,59
Gato,Pastor Inglés,Brownie,pardo,9
Gato,Siames,Pulgas,café,9
Gato,Siames,Manchas,pardo,60
Perro,Persa,Negro,blanco,3
Gato,Persa,Bishi,pardo,13
Perro,Calicó,Moana,gris,26
Gato,Siames,Negro,café,54
Perro,Calicó,Manchas,café,6
Perro,Calicó,Bishi,negro,6
Perro,Pastor Alemán,Brownie,pardo,55
Gato,Dorado,Bishi,miel,56
Perro,Dorado,Bishi,moteado,27
Gato,Chihuahua,Moana,pardo,33
Perro,Calicó,Linus,negro,47
Perro,Calicó,Moana,naranja,37
Perro,Maltés,Bolita,negro,19
Gato,Siames,Negro,miel,54
Gato,Dorado,Pulgas,gris,17
Gato,Persa,Linus,miel,20
Perro,Cooker Spaniel,Negro,naranja,48
Gato,Siames,Negro,café,58
Gato,Cooker Spaniel,Manchas,miel,59
Gato,Chihuahua,Manchas,moteado,14
Perro,Chihuahua,Bishi,moteado,41
Perro,Cooker Spaniel,Moana,blanco,13
Gato,Siames,Manchas,moteado,4
Gato,Calicó,Pulgas,miel,21
Gato,Calicó,Negro,blanco,37
Perro,Cooker Spaniel,Linus,pardo,6
Perro,Siames,Manchas,negro,60
Perro,Chihuahua,Manchas,naranja,42
Gato,Chihuahua,Bishi,moteado,36
Perro,Chihuahua,Motitas,naranja,33
Perro,Persa,Motitas,moteado,57
Perro,Dorado,Motitas,naranja,8
Perro,Maltés,Bolita,gris,50
Gato,Calicó,Brownie,café,6
Gato,Pastor Inglés,Motitas,blanco,44
Gato,Persa,Moana,gris,51
Perro,Siames,Moana,blanco,39
Perro,Chihuahua,Motitas,gris,7
Gato,Dorado,Negro,blanco,45
Perro,Calicó,Manchas,negro,32
Perro,Pastor Inglés,Motitas,miel,34
Gato,Persa,Moana,gris,47
Gato,Pastor Inglés,Moana,café,47
Perro,Chihuahua,Motitas,blanco,9
Perro,Pastor Alemán,Negro,pardo,22
